level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	154	164	668	466	-1	
3	1	1	1	0	0	166	164	284	61	-1	
4	1	1	1	1	0	166	164	284	61	-1	
5	1	1	1	1	1	166	164	160	51	96	扫描
5	1	1	1	1	2	340	169	97	56	93	审批
5	1	1	1	1	3	421	160	30	77	90	卡
3	1	1	2	0	0	163	265	409	43	-1	
4	1	1	2	1	0	163	265	409	43	-1	
5	1	1	2	1	1	165	265	100	37	96	文件
5	1	1	2	1	2	277	268	55	34	70	编号
5	1	1	2	1	3	331	261	21	53	92	:
5	1	1	2	1	4	353	274	219	34	91	OCR-ZH-882
3	1	1	3	0	0	162	343	260	40	-1	
4	1	1	3	1	0	162	343	260	40	-1	
5	1	1	3	1	1	162	343	146	38	0	REA
5	1	1	3	1	2	327	359	5	20	74	:
5	1	1	3	1	3	350	352	72	31	95	62%
3	1	1	4	0	0	160	421	298	41	-1	
4	1	1	4	1	0	160	421	298	41	-1	
5	1	1	4	1	1	160	421	107	36	95	审批
5	1	1	4	1	2	245	417	28	55	81	人
5	1	1	4	1	3	287	436	4	20	81	:
5	1	1	4	1	4	310	425	104	37	96	值班
5	1	1	4	1	5	424	431	18	31	93	经
5	1	1	4	1	6	434	417	28	55	92	理
3	1	1	5	0	0	156	498	406	44	-1	
4	1	1	5	1	0	156	498	406	44	-1	
5	1	1	5	1	1	156	498	103	37	95	复核
5	1	1	5	1	2	271	509	4	27	93	时
5	1	1	5	1	3	276	503	25	34	92	间
5	1	1	5	1	4	322	515	5	20	83	:
5	1	1	5	1	5	346	504	70	35	96	每
5	1	1	5	1	6	423	494	50	57	96	周三
5	1	1	5	1	7	473	511	89	31	88	14:30
3	1	1	6	0	0	154	577	668	53	-1	
4	1	1	6	1	0	154	577	668	53	-1	
5	1	1	6	1	1	154	577	71	35	93	注意
5	1	1	6	1	2	244	590	5	21	78	:
5	1	1	6	1	3	267	583	72	31	92	26%
5	1	1	6	1	4	355	583	66	34	96	是
5	1	1	6	1	5	386	573	104	61	96	演示
5	1	1	6	1	6	506	573	52	61	57	数据
5	1	1	6	1	7	559	616	4	9	57	，
5	1	1	6	1	8	584	592	70	32	85	不
5	1	1	6	1	9	659	592	33	34	96	是
5	1	1	6	1	10	660	573	80	61	92	安全
5	1	1	6	1	11	740	594	59	35	0	阔
5	1	1	6	1	12	790	573	24	61	84	值
5	1	1	6	1	13	811	618	11	12	88	。
